,title,year,rating,director,genres
1,Dune: Parte dos,2024,8.7,Denis Villeneuve,Action
2,Godzilla Minus One,2023,8.3,Takashi Yamazaki,Action
3,th Fail,2023,9.0,Vidhu Vinod Chopra,Biography
4,Oppenheimer,2023,8.3,Christopher Nolan,Biography
5,Spider-Man: Cruzando el multiverso,2023,8.6,Joaquim Dos Santos,Action
6,Top Gun: Maverick,2022,8.2,Joseph Kosinski,Action
7,Spider-Man: No Way Home,2021,8.2,Jon Watts,Action
8,Jai Bhim,2021,8.7,T.J. Gnanavel,Crime
9,Hamilton,2020,8.3,Thomas Kail,Biography
10,El padre,2020,8.2,Florian Zeller,Drama
11,Klaus,2019,8.2,Sergio Pablos,Animation
12,Joker,2019,8.4,Todd Phillips,Crime
13,Le Mans ',2019,8.1,James Mangold,Action
14,Parásitos,2019,8.5,Bong Joon Ho,Drama
15,Vengadores: Endgame,2019,8.4,Anthony Russo,Action
16,Spider-Man: Un nuevo universo,2018,8.4,Bob Persichetti,Action
17,Green Book,2018,8.2,Peter Farrelly,Biography
18,Cafarnaúm,2018,8.4,Nadine Labaki,Drama
19,Vengadores: Infinity War,2018,8.4,Anthony Russo,Action
20,Coco,2017,8.4,Lee Unkrich,Animation
21,Tres anuncios en las afueras,2017,8.1,Martin McDonagh,Comedy
22,Logan,2017,8.1,James Mangold,Action
23,Dangal,2016,8.3,Nitesh Tiwari,Action
24,Hasta el último hombre (Hacksaw Ridge),2016,8.1,Mel Gibson,Biography
25,Your Name,2016,8.4,Makoto Shinkai,Animation
26,La doncella,2016,8.1,Park Chan-wook,Drama
27,La habitación,2015,8.1,Luis Piedrahita,Mystery
28,Spotlight,2015,8.1,Tom McCarthy,Biography
29,Del revés (Inside Out),2015,8.1,Pete Docter,Animation
30,Mad Max: Furia en la carretera,2015,8.1,George Miller,Action
31,Interstellar,2014,8.7,Christopher Nolan,Adventure
32,Perdida,2014,8.1,David Fincher,Suspense
33,Relatos salvajes,2014,8.1,Damián Szifron,Comedy
34,El gran hotel Budapest,2014,8.1,Alejandro Peña-Ayala,News
35,Whiplash,2014,8.5,Damien Chazelle,Drama
