,type,title,director,cast,country,release year,platform,drama,comedy,documentary,horror,thrillers,romance,children & family,entertainment,music & musicals,action & adventure,sci-fi & fantasy,animation
0,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",Canada,2014,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
1,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,2018,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
2,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",United States,2017,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
3,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",United States,2014,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
6,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,2017,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
7,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,2016,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
8,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",Canada,2017,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
10,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,2016,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
11,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,2014,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
12,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,2018,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
13,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,2020,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
14,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,2018,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
15,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,2019,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
16,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",not found,2016,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
18,TV Show,Zoë Coombs Marr: Bossy Bottom,not found,Zoë Coombs Marr,not found,2020,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
19,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",not found,2018,Amazon Prime,0,0,0,0,0,0,0,0,0,0,1,0
