,type,title,director,cast,country,release year,platform,animation,children & family,entertainment,documentary,thrillers,music & musicals,romance,comedy,drama,horror,sci-fi & fantasy,action & adventure
0,Movie,Dick Johnson Is Dead,Kirsten Johnson,not found,United States,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
1,TV Show,Blood & Water,not found,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
2,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3,TV Show,Jailbirds New Orleans,not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
4,TV Show,Kota Factory,not found,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
5,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
6,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
8,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
9,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
10,TV Show,"Vendetta: Truth, Lies and The Mafia",not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
11,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
12,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
13,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
14,TV Show,Crime Stories: India Detectives,not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
15,TV Show,Dear White People,not found,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
16,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",not found,not found,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
17,TV Show,Falsa identidad,not found,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
18,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",not found,2021,Netflix,0,0,0,0,1,0,0,0,0,0,0,0
19,TV Show,Jaguar,not found,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
20,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
21,TV Show,Resurrection: Ertugrul,not found,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
23,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
25,TV Show,Love on the Spectrum,not found,Brooke Satchwell,Australia,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
30,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
31,TV Show,Chicago Party Aunt,not found,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",not found,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
32,TV Show,Sex Education,not found,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
33,TV Show,Squid Game,not found,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
34,TV Show,Tayo and Little Wizards,not found,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
35,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
36,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
37,TV Show,Angry Birds,not found,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
38,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
39,TV Show,Chhota Bheem,not found,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
40,TV Show,He-Man and the Masters of the Universe,not found,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
